Referencia contrato,Objeto,Entidad,Entidad contratante,Importe licitación,Tipo contrato,Procedimiento adjudicación,Nº licitadores,Fecha formalización,Adjudicatario,Importe adjudicación,Nombre PDF,Url PDF,uri
4/2015EV,Adquisición de 3 chaquetones para mayordomia,Diputación de Cádiz,DIPUTACION CADIZ,61.44,Suministro,menor,1,06/02/2014,Rutesa suministros y serv..S.L.,61.44,06/02/2014,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/8.csv
6/2015EV,Aquisición   vestuarios invierno-verano personal de mayordomia ,Diputación de Cádiz,DIPUTACION CADIZ,82.99,Suministro,menor,1,18/02/2014,Rutesa suministro y serv.S.L.,82.99,18/02/2014,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/12.csv
15/2015EV,Encuadernadora,Diputación de Cádiz,DIPUTACION CADIZ,309.92,Suministro,menor,2,30/12/2014,Vistalegre SL,302.5,30/12/2014,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/22.csv
16/2015EV,Equipo multifunción de hacienda,Diputación de Cádiz,DIPUTACION CADIZ,1239.67,Suministro,menor,4,30/12/2014,Canon SL,1225,30/12/2014,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/21.csv
3/2015EV,Suministro de consumibles informáticos (1/02/2015),Diputación de Cádiz,DIPUTACION CADIZ,18000,Suministro,menor,4,29/01/2015,"Papeleria Las Cortes, S.L.L:",18000,29/01/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1.csv
26/2015EV,32 trofeos - iniciación padel sierra y la janda 2015,Diputación de Cádiz,DIPUTACION CADIZ,264.46,Suministro,menor,4,04/02/2015,Manuel Barberá - Todolamp,224.79,04/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/39.csv
5/2015EV,Estudio de vertidos de aguas Benaocaz,Diputación de Cádiz,DIPUTACION CADIZ,2682.02,servicios,menor,1,04/02/2015,Centa ,2682.02,04/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/25.csv
18/2015EV,"252 vales por importe de 16.360 €: Circuitos Diputación de Cádiz (Carreras populares, Carreras de montaña, Medias Maratones y Duatlon)",Diputación de Cádiz,DIPUTACION CADIZ,13520.66,Suministro,menor,5,09/02/2015,"El Corte Ingles,S.A.",13520.66,09/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/4.csv
9/2015EV,"edición 500 ejemplares ""la virgen de olvera III"" y 750 ejemplares ""los quesos de la sierra""",Diputación de Cádiz,DIPUTACION CADIZ,8173.08,servicios,menor,5,10/02/2015,Linea Offset SL,5911.15,10/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/31.csv
14/2015EV,Material deportivo - Tenis,Diputación de Cádiz,DIPUTACION CADIZ,1933.88,Suministro,menor,6,12/02/2015,Sport Garrido SA,1582.75,12/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/27.csv
13/2015EV,Trofeos y medallas - Tenis,Diputación de Cádiz,DIPUTACION CADIZ,545.45,Suministro,menor,4,12/02/2015,Manuel Barberá - Todolamp,521.49,12/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/26.csv
9/2015EV,"Reforma de oficiona Usecia, oficina cmte, oficina seprona, salón de inmigrantes y cuarto de archivos y trabajos cuarteo de puerta-Ubrique",Diputación de Cádiz,DIPUTACION CADIZ,16397,obras,menor,3,13/02/2015,"Nupren, S.L.",16397,13/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/148.csv
90/2014EV,Coord.Seg. Y Salud obra corrección desliz. Terraplén CA-8201 (Jimena-Pto. Galis),Diputación de Cádiz,DIPUTACION CADIZ,1636.36,servicios,menor,3,17/02/2015,SGS Tecnos S.A.,900,17/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/10.csv
5/2015EV,Adquisición 5 sillas de oficinas ergonómicas,Diputación de Cádiz,DIPUTACION CADIZ,633.26,Suministro,menor,3,18/02/2015,"El Corte Ingles,S.A.",633.25,18/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/11.csv
5/2014/EV,"Impermeabilización de cubiertas plana, limpieza de tejados, pintura exterior e interior en Edificios Municipales-Grazalema",Diputación de Cádiz,DIPUTACION CADIZ,42066.12,obras,menor,3,19/02/2015,"Vipaeuro Construcciones, S.L.",32706.61,19/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/79.csv
3/2015EV,Tratamiento lixiviados,Diputación de Cádiz,DIPUTACION CADIZ,17999.99,servicios,menor,1,20/02/2015,Verinsur ,17999.99,20/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/14.csv
14/2015EV,Obras complementarias C/ Ganaderos en Torrecera,Diputación de Cádiz,DIPUTACION CADIZ,25206.61,obras,menor,3,23/02/2015,INUR. S.L.,24999,23/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/7.csv
1/2015EV,Reparación pabellón en cuartel de la Guardia Civil-El Bosque,Diputación de Cádiz,DIPUTACION CADIZ,9174.45,obras,menor,3,23/02/2015,"Construcciones Cañino, S.L.",8330,23/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/2.csv
8/2015EV,Arreglo y asfaltado de las entradas a la Polblación (Este y Oeste) Algodonales,Diputación de Cádiz,DIPUTACION CADIZ,47272.73,obras,menor,3,23/02/2015,"Construcciones Garrucho, S.A.",42000,23/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/147.csv
7/2015EV,Adquisición de 2 fajas de protección lumbar RR.MM. Linea de la Concepción,Diputación de Cádiz,DIPUTACION CADIZ,59,Suministro,menor,8,24/02/2015,"Jose Queralto Rosal, S.A.",59,24/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/13.csv
10/2015EV,Trofeos - Baloncesto Sierra de Cádiz,Diputación de Cádiz,DIPUTACION CADIZ,247.93,Suministro,menor,4,24/02/2015,Manuel Barberá - Todolamp,243.93,24/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/24.csv
4/2015EV,Mantenimiento plantas de RRMM Cádiz,Diputación de Cádiz,DIPUTACION CADIZ,5000,servicios,menor,1,26/02/2015,asociacion abaniko ,4655.5,26/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/20.csv
6/2015EV,7ª Fase Edificio Municipal usos múltiples en Benamahoma-Grazalema,Diputación de Cádiz,DIPUTACION CADIZ,18595.03,obras,menor,3,27/02/2015,"Zardoya Otis, S.A.-RESUELTO- NUEVA LIC. DESIERTA",11790.07,27/02/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/86.csv
11/2015EV,Suministr de semillas jardinería CEAG,Diputación de Cádiz,DIPUTACION CADIZ,14249.4,Suministro,menor,5,03/03/2015,Viveros star plant ,14051,03/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/23.csv
9/2015EV,Productos de limpieza del quiñones,Diputación de Cádiz,DIPUTACION CADIZ,1280.6,Suministro,menor,4,03/03/2015,Rutesa S.L.,1280.6,03/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/19.csv
7/2015EV,Construcción de nichos en el cementerio municipal-Algodonales,Diputación de Cádiz,DIPUTACION CADIZ,26446.28,obras,menor,3,05/03/2015,"Torconstrucciones, S.C.",26445.28,05/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/141.csv
21/2015EV,Programa escolar de multiaventura,Diputación de Cádiz,DIPUTACION CADIZ,12396.69,servicios,menor,4,06/03/2015,Turismo Rural Genatur SCA,12396.69,06/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/38.csv
16/2015EV,"Programa escolar de ""arborismo""",Diputación de Cádiz,DIPUTACION CADIZ,8264.46,servicios,menor,2,06/03/2015,Lote 1: Zahara Catur SL y Lote 2: Entre Ramas Aventura SL,8264.46,06/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/37.csv
17/2015EV,"Programa de senderismo ""conoce tus parques naturales""",Diputación de Cádiz,DIPUTACION CADIZ,16500,servicios,menor,5,06/03/2015,Alema turismo y medioambiente,16500,06/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/36.csv
8/2015EV,Adquisición de 8 medallas de la provincia ,Diputación de Cádiz,DIPUTACION CADIZ,1888,Suministro,menor,1,09/03/2015,Juan José Rivera Podesta,1888,09/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/15.csv
12/2015EV,Adquisición de 15 medallas de la provincia,Diputación de Cádiz,DIPUTACION CADIZ,3540,Suministro,menor,1,16/03/2015,Juan José Rivera Podesta,3540,16/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/16.csv
20/2015EV,Instalaciones especiales necesarias para la puesta en funcionamiento de la Plaza de Toros para usos culturales,Diputación de Cádiz,DIPUTACION CADIZ,16684.62,obras,menor,1,25/03/2015,"DHG Consultoría Urbanística Gestión y Desarrollo, S.L.",15843.38,25/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/9.csv
21/2015EV,"edición 500 ejemplares ""Revista Caleta 17""",Diputación de Cádiz,DIPUTACION CADIZ,4038.46,servicios,menor,5,25/03/2015,Linea Offset SL,3228.05,25/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/50.csv
8/2015EV,Arrendamiento nave Zona Franca 30/03/2015 a 30/04/2015 ,Diputación de Cádiz,DIPUTACION CADIZ,3071.83,servicios,menor,1,27/03/2015,"Naves Gonzalez Mateos, S.L.",3071.83,27/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/18.csv
